ID,Name,Description,Procedures
T1066,Indicator Removal from Tools,"If a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to determine why the malicious tool was detected (the indicator), modify the tool by removing the indicator, and use the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems.  A good example of this is when malware is detected with a file signature and quarantined by anti-virus software. An adversary who can determine that the malware was quarantined because of its file signature may use [Software Packing] or otherwise modify the file so it has a different signature, and then re-use the malware.",[]
T1557,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as [Network Sniffing] [Transmitted Data Manipulation] or replay attacks ([Exploitation for Credential Access] By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.  For example, adversaries may manipulate victim DNS settings to enable other malicious activities such as preventing/redirecting users from accessing legitimate sites and/or pushing additional malware. Adversaries may also manipulate DNS and leverage their position in order to intercept user credentials and session cookies. [Downgrade Attack] can also be used to establish an AiTM position, such as by negotiating a less secure, deprecated, or weaker version of communication protocol (SSL/TLS) or encryption algorithm.  Adversaries may also leverage the AiTM position to attempt to monitor and/or modify traffic, such as in [Transmitted Data Manipulation] Adversaries can setup a position similar to AiTM to prevent traffic from flowing to the appropriate destination, potentially to [Impair Defenses] and/or in support of a [Network Denial of Service]","['[Dok] proxies web traffic to potentially monitor and alter victim HTTP(S) traffic.', '[Kimsuky] has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.']"
T1003,OS Credential Dumping,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. Credentials can then be used to perform [Lateral Movement] and access restricted information.  Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers. Additional custom tools likely exist as well. ","['[APT39] has used different versions of Mimikatz to obtain credentials.', '[Carbanak] obtains Windows logon password details.', '[Revenge RAT] has a plugin for credential harvesting.', '[PinchDuke] steals credentials from compromised hosts. [PinchDuke] credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by [PinchDuke] include ones associated many sources such as WinInet Credential Cache, and Lightweight Directory Access Protocol (LDAP).', '[Poseidon Group] conducts credential dumping on victims, with a focus on obtaining credentials belonging to domain and database servers.', '[OnionDuke] steals credentials from its victims.', '[Tonto Team] has used a variety of credential dumping tools. ', '[APT32] used GetPassword_x64 to harvest credentials.', '[HOMEFRY] can perform credential dumping.', '[Suckfly] used a signed credential-dumping tool to obtain victim account credentials.', '[Trojan.Karagany] can dump passwords and save them into <code>\\ProgramData\\Mail\\MailAg\\pwds.txt</code>.', '[APT28] regularly deploys both publicly available (ex: [Mimikatz] and custom password retrieval tools on victims.\t', '[Sowbug] has used credential dumping tools.', '[Axiom] has been known to dump credentials.', '[Leviathan] has used publicly available tools to dump password hashes, including [HOMEFRY]', ""[Frankenstein] has harvested credentials from the victim's machine using [Empire]"", '[KONNI] can steal profiles (containing credential information) from Firefox, Chrome, and Opera.', '[Azorult] can dump credentials from victim browsers.', 'APT34 has dumped credentials from victims in several ways, including by using open source tools Mimikatz and Lazagne, or by harvesting credentials when users log into Outlook Web Access.', 'Dragonfly dropped and executed SecretsDump, a tool that dumps password hashes.']"
T1133,External Remote Services,"Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. There are often remote service gateways that manage connections and credential authentication for these services. Services such as [Windows Remote Management] and [VNC] can also be used externally.  Access to [Valid Accounts] to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network. Access to remote services may be used as a redundant or persistent access mechanism during an operation.  Access may also be gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.","['[TeamTNT] has used open-source tools such as Weave Scope to target exposed Docker API ports and gain initial access to victim environments. [TeamTNT] has also targeted exposed kubelets for Kubernetes environments.', '[FIN13] has gained access to compromised environments via remote access services such as the corporate virtual private network (VPN).', 'During [Operation CuckooBees] the threat actors enabled WinRM over HTTP/HTTPS as a backup persistence mechanism using the following command: `cscript //nologo ""C:\\Windows\\System32\\winrm.vbs"" set winrm/config/service@{EnableCompatibilityHttpsListener=""true""}`.', '[Linux Rabbit] attempts to gain access to the server via SSH.', 'During [Night Dragon] threat actors used compromised VPN accounts to gain access to victim systems.', '[Mafalda] can establish an SSH connection from a compromised host to a server.', '[APT18] actors leverage legitimate credentials to log into external remote services.', '[TEMP.Veles] has used a VPN to persist in the victim environment.', ""[Sandworm Team] has used Dropbear SSH with a hardcoded backdoor password to maintain persistence within the target network. [Sandworm Team] has also used VPN tunnels established in legitimate software company infrastructure to gain access to internal networks of that software company's users."", '[Hildegard] was executed through an unsecure kubelet that allowed anonymous access to the victim environment.', '[Scattered Spider] has leveraged legitimate remote management tools to maintain persistent access.', '[APT41] compromised an online billing/payment service using VPN access between a third-party service provider and the targeted payment service. ', '[LAPSUS$] has gained access to internet-facing systems and applications, including virtual private network (VPN), remote desktop protocol (RDP), and virtual desktop infrastructure (VDI) including Citrix. ', '[OilRig] uses remote services such as VPN, Citrix, or OWA to persist in an environment.', '[GALLIUM] has used VPN services, including SoftEther VPN, to access and maintain persistence in victim environments.', '[Ke3chang] has gained access through VPNs including with compromised accounts and stolen VPN certificates.', 'During the [2015 Ukraine Electric Power Attack] [Sandworm Team] installed a modified Dropbear SSH client as the backdoor to target systems. ', '[Wizard Spider] has accessed victim networks by using stolen credentials to access the corporate VPN infrastructure.', '[APT29] has used compromised identities to access networks via VPNs and Citrix.', 'During [CostaRicto] the threat actors set up remote tunneling using an SSH tool to maintain access to a compromised environment.', '[Kimsuky] has used RDP to establish persistence.', '[FIN5] has used legitimate VPN, Citrix, or VNC credentials to maintain access to a victim environment.', 'For the [SolarWinds Compromise] [APT29] used compromised identities to access networks via SSH, VPNs, and other remote access tools.', '[Threat Group-3390] actors look for and use VPN profiles during an operation to access the network using external VPN services. [Threat Group-3390] has also obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.', '[Kinsing] was executed in an Ubuntu container deployed via an open Docker daemon API.', 'During [C0027] [Scattered Spider] used Citrix and VPNs to persist in compromised environments.', '[GOLD SOUTHFIELD] has used publicly-accessible RDP and remote management and monitoring (RMM) servers to gain access to victim machines.\t', '[Chimera] has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services.', '[Dragonfly] has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.', '[APT28] has used [Tor] and a variety of commercial VPN services to route brute force authentication attempts.', ""During [Operation Wocao] threat actors used stolen credentials to connect to the victim's network via VPN."", '[Doki] was executed through an open Docker daemon API port.', '[Leviathan] has used external remote services such as virtual private networks (VPN) to gain initial access.', '[UNC2452] has used compromised identities to access VPNs and remote access tools.', '[Night Dragon] has used compromised VPN accounts to gain access to victim systems.', ""[Operation Wocao] has used stolen credentials to connect to the victim's network via VPN."", '[Dragonfly 2.0] used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.', 'Dragonfly used remote access services, including VPN and Outlook Web Access (OWA).', 'APT34 uses remote services such as VPN, Citrix, or OWA to persist in an environment.']"
T1539,Steal Web Session Cookie,"An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials. Web applications and services often use session cookies as an authentication token after a user has authenticated to a website.  Cookies are often valid for an extended period of time, even if the web application is not actively used. Cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems. Additionally, other applications on the targets machine might store sensitive authentication cookies in memory (e.g. apps which authenticate to cloud services). Session cookies can be used to bypasses some multi-factor authentication protocols.  There are several examples of malware targeting cookies from web browsers on the local system. There are also open source frameworks such as `Evilginx2` and `Muraena` that can gather session cookies through a malicious proxy (ex: [Adversary-in-the-Middle] that can be set up by an adversary and used in phishing campaigns.  After an adversary acquires a valid cookie, they can then perform a [Web Session Cookie] technique to login to the corresponding web application.","['[LuminousMoth] has used an unnamed post-exploitation tool to steal cookies from the Chrome browser.', ""[Grandoreiro] can steal the victim's cookies to use for duplicating the active session from another device."", '[Evilnum] can steal cookies and session information from browsers.', '[CookieMiner] can steal Google Chrome and Apple Safari browser cookies from the victim’s machine. ', '[QakBot] has the ability to capture web session cookies.', '[EVILNUM] can harvest cookies and upload them to the C2 server.', '[Chaes] has used a script that extracts the web session cookie and sends it to the C2 server. ', '[BLUELIGHT] can harvest cookies from Internet Explorer, Edge, Chrome, and Naver Whale browsers.', 'During the [SolarWinds Compromise] [APT29] stole Chrome browser cookies by copying the Chrome profile directories of targeted users.', '[XCSSET] uses <code>scp</code> to access the <code>~/Library/Cookies/Cookies.binarycookies</code> file.', '[TajMahal] has the ability to steal web session cookies from Internet Explorer, Netscape Navigator, FireFox and RealNetworks applications.', '[APT29] has stolen Chrome browser cookies by copying the Chrome profile directories of targeted users.']"
T1600,Weaken Encryption,"Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications.   Encryption can be used to protect transmitted network traffic to maintain its confidentiality (protect against unauthorized disclosure) and integrity (protect against unauthorized changes). Encryption ciphers are used to convert a plaintext message to ciphertext and can be computationally intensive to decipher without the associated decryption key. Typically, longer keys increase the cost of cryptanalysis, or decryption without the key.  Adversaries can compromise and manipulate devices that perform encryption of network traffic. For example, through behaviors such as [Modify System Image] [Reduce Key Space] and [Disable Crypto Hardware] an adversary can negatively effect and/or eliminate a device’s ability to securely encrypt network traffic. This poses a greater risk of unauthorized disclosure and may help facilitate data manipulation, Credential Access, or Collection efforts. ",[]
T1489,Service Stop,"Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment.   Adversaries may accomplish this by disabling individual services of high importance to an organization, such as <code>MSExchangeIS</code>, which will make Exchange content inaccessible . In some cases, adversaries may stop or disable many or all services to render systems unusable. Services or processes may not allow for modification of their data stores while running. Adversaries may stop services or processes in order to conduct [Data Destruction] or [Data Encrypted for Impact] on the data stores of services like Exchange and SQL Server.","['[Clop] can kill several processes and services related to backups and security solutions. ', '[LookBack] can kill processes and delete services.', '[Meteor] can disconnect all network adapters on a compromised host using `powershell -Command ""Get-WmiObject -class Win32_NetworkAdapter | ForEach { If ($.NetEnabled) { $.Disable() } }"" > NUL`.', '[WannaCry] attempts to kill processes associated with Exchange, Microsoft SQL Server, and MySQL to make it possible to encrypt their data stores.', '[Royal] can use `RmShutDown` to kill  applications and services using the resources that are targeted for encryption.', '[Diavol] will terminate services using the Service Control Manager (SCM) API. ', '[Avaddon] looks for and attempts to stop database processes.', '[Olympic Destroyer] uses the API call <code>ChangeServiceConfigW</code> to disable all services on the affected system.', '[Prestige] has attempted to stop the MSSQL Windows service to ensure successful encryption using `C:\\Windows\\System32\\net.exe stop MSSQLSERVER`.', '[Pay2Key] can stop the MS SQL service at the end of the encryption process to release files locked by the service.', '[BlackCat] has the ability to stop VM services on compromised networks.', '[RobbinHood] stops 181 Windows services on the system before beginning the encryption process. ', '[Lazarus Group] has stopped the MSExchangeIS service to render Exchange contents inaccessible to users.', '[Babuk] can stop specific services related to backups.', '[REvil] has the capability to stop services and kill processes.', '[Conti] can stop up to 146 Windows services related to security, backup, database, and email solutions through the use of <code>net stop</code>.', '[Ryuk] has called <code>kill.bat</code> for stopping services, disabling services and killing processes.', '[Cuba] has a hardcoded list of services and processes to terminate.', ""[LAPSUS$] has shut down virtual machines from within a victim's on-premise VMware ESXi infrastructure."", '[MegaCortex] can stop and disable services on the system. ', '[Industroyer] data wiper module writes zeros into the registry keys in <code>SYSTEM\\CurrentControlSet\\Services</code> to render a system inoperable.', '[KillDisk] terminates various processes to get the user to reboot the victim machine.', '[Ragnar Locker] has attempted to stop services associated with business applications and databases to release the lock on files used by these applications so they may be encrypted.', '[SLOTHFULMEDIA] has the capability to stop processes and services.', '[HotCroissant] has the ability to stop services on the infected host.', '[EKANS] stops database, data backup solution, antivirus, and ICS-related processes.', '[AvosLocker] has terminated specific processes before encryption.', '[Wizard Spider] has used taskkill.exe and net.exe to stop backup, catalog, cloud, and other services prior to network encryption.', '[Pysa] can stop services and processes. ', '[HermeticWiper] has the ability to stop the Volume Shadow Copy service.', '[Maze] has stopped SQL services to ensure it can encrypt any database. ', '[Indrik Spider] has used [PsExec] to stop services prior to the execution of ransomware.', '[Netwalker] can terminate system processes and services, some of which relate to backup software.']"
T1080,Taint Shared Content," Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files. Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system. Adversaries may use tainted shared content to move laterally.  A directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory. It uses [Shortcut Modification] of directory .LNK files that use [Masquerading] to look like the real directories, which are hidden through [Hidden Files and Directories] The malicious .LNK-based directories have an embedded command that executes the hidden malware file in the directory and then opens the real intended directory so that the user's expected action still occurs. When used with frequently used network directories, the technique may result in frequent reinfections and broad access to systems and potentially to new and higher privileged accounts.   Adversaries may also compromise shared network directories through binary infections by appending or prepending its code to the healthy binary on the shared network directory. The malware may modify the original entry point (OEP) of the healthy binary to ensure that it is executed before the legitimate code. The infection could continue to spread via the newly infected file when it is executed by a remote system. These infections may target both binary and non-binary formats that end with extensions including, but not limited to, .EXE, .DLL, .SCR, .BAT, and/or .VBS.","['[H1N1] has functionality to copy itself to network shares.', '[Darkhotel] used a virus that propagates by infecting executables stored on shared drives.', '[Ramsay] can spread itself by infecting other portable executable files on networks shared drives.\t', '[Gamaredon Group] has injected malicious macros into all Word and Excel documents on mapped network drives.', '[BRONZE BUTLER] has placed malware on file shares and given it the same name as legitimate documents on the share.', '[InvisiMole] can replace legitimate software or documents in the compromised network with their trojanized versions, in an attempt to propagate itself within the network.', '[Conti] can spread itself by infecting other remote machines via network shared drives. ', '[Miner-C] copies itself into the public folder of Network Attached Storage (NAS) devices and infects new victims who open the file.', '[Stuxnet] infects remote servers via network shares and by infecting WinCC database views with malicious code.', '[Ursnif] has copied itself to and infected files in network drives for propagation.']"
T1040,Network Sniffing,"Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data.  Data captured via this technique may include user credentials, especially those sent over an insecure, unencrypted protocol. Techniques for name service resolution poisoning, such as [LLMNR/NBT-NS Poisoning and SMB Relay] can also be used to capture credentials to websites, proxies, and internal systems by redirecting traffic to an adversary.  Network sniffing may also reveal configuration details, such as running services, version numbers, and other network characteristics (e.g. IP addresses, hostnames, VLAN IDs) necessary for subsequent Lateral Movement and/or Defense Evasion activities.  In cloud-based environments, adversaries may still be able to use traffic mirroring services to sniff network traffic from virtual machines. For example, AWS Traffic Mirroring, GCP Packet Mirroring, and Azure vTap allow users to define specified instances to collect traffic from and specified targets to send collected traffic to. Often, much of this traffic will be in cleartext due to the use of TLS termination at the load balancer level to reduce the strain of encrypting and decrypting traffic. The adversary can then use exfiltration techniques such as Transfer Data to Cloud Account in order to access the sniffed traffic.  On network devices, adversaries may perform network captures using [Network Device CLI] commands such as `monitor capture`.","['[Sandworm Team] has used intercepter-NG to sniff passwords in network traffic.\t', '[Kimsuky] has used the Nirsoft SniffPass network sniffer to obtain passwords sent over non-secure protocols.', '[Impacket] can be used to sniff network traffic via an interface or raw socket.', '[NBTscan] can dump and print whole packet content.\t', '[MESSAGETAP] uses the libpcap library to listen to all traffic and parses network protocols starting with Ethernet and IP layers. It continues parsing protocol layers including SCTP, SCCP, and TCAP and finally extracts SMS message data and routing metadata.  ', 'During the [2015 Ukraine Electric Power Attack] [Sandworm Team] used [BlackEnergy] network sniffer module to discover user credentials being sent over the network between the local LAN and the power grid’s industrial control systems. ', '[Penquin] can sniff network traffic to look for packets matching specific conditions.', '[FoggyWeb] can configure custom listeners to passively monitor all incoming HTTP GET and POST requests sent to the AD FS server from the intranet/internet and intercept HTTP requests that match the custom URI patterns defined by the actor.', '[Empire] can be used to conduct packet captures on target hosts.', '[Responder] captures hashes and credentials that are sent to the system after the name services have been poisoned.', '[Emotet] has been observed to hook network APIs to monitor network traffic. ', '[APT33] has used SniffPass to collect credentials by sniffing network traffic.', '[DarkVishnya] used network sniffing to obtain login data. ', '[APT28] deployed the open source tool Responder to conduct NetBIOS Name Service poisoning, which captured usernames and hashed passwords that allowed access to legitimate credentials. [APT28] close-access teams have used Wi-Fi pineapples to intercept Wi-Fi signals and user credentials.', '[PoshC2] contains a module for taking packet captures on compromised hosts.', '[Regin] appears to have functionality to sniff for credentials passed over HTTP, SMTP, and SMB.', '[Stolen Pencil] has a tool to sniff the network for passwords. ']"
T1202,Indirect Command Execution,"Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be used to execute commands, possibly without invoking [cmd] For example, [Forfiles] the Program Compatibility Assistant (pcalua.exe), components of the Windows Subsystem for Linux (WSL), as well as other utilities may invoke the execution of programs and commands from a [Command and Scripting Interpreter] Run window, or via scripts.    Adversaries may abuse these features for [Defense Evasion] specifically to perform arbitrary execution while subverting detections and/or mitigation controls (such as Group Policy) that limit/prevent the usage of [cmd] or file extensions more commonly associated with malicious payloads.","['[Lazarus Group] persistence mechanisms have used <code>forfiles.exe</code> to execute .htm files.', '[Forfiles] can be used to subvert controls and possibly conceal command execution by not directly invoking [cmd]', '[Revenge RAT] uses the [Forfiles] utility to execute commands on the system.']"
